tweets,polarity
 family mormon never try explain still stare puzzle time time like kind strange creature come admire patience calmness equanimity acceptance compassion develop thing buddhism ,Positive
buddhism much lot compatible christianity especially consider sin suffer almost thing suffer cause want thing go get thing wrong way christian would mean want thing don coincide god want thing coincide without aid jesus buddhism could also see proof god mighty omnipotence certainly christian lucky one christ side everyone else well many christian believe god grace salvation buddhism god way show grace upon others would also help study thing jesus say see buddha make similar rich man get heaven joke basically rid material possession fact distinctly remember jesus make cry ask achieve salvation jesus live like buddhist roughly also point buddha rarely speak anything god theory personally well enough leave jesus come late remember conflict difference opinion education fun enlighten easy teach something prove right like intelligent design ,Positive
seriously don say thing first get complex explain normal people dogmatic doesn matter say see post reason decide late life move buddhism doesn suit identity though still get keep wisdom family treat like weird phase never hear end pro tip don put one wall ,Negative
learn teach different focus goal not wrap paper buddhism pass others without word buddha ,Neutral
benefit may read live buddha live christ might find subsequent love one easy able articulate exist buddhism christianity don surprise react lose treat compassion deserve understand although may indeed display sign hurt new path properly share way may alleviate fear something may perceive wrong least alien may help long run accept although not necessarily agree decision regardless end make way ,Positive
sit together watch episode buddhist season episode little faith discus ,Negative
 teen discover zen meditation undiagnosed modem web connection come across link zen meditation try couple change palpable felt profound sense peace ever felt immediately go energy martial art huge change around ask something wrong anything change foolishly tell try meditation really think happy find something help never forget next mother affect calm voice say pretend calm happy without jesus never content moment belief christian faith vanish completely probably never happy ever never felt profoundly sorry moment ,Positive
jesus zen meet jew ,Neutral
two christian dogmatic dwell word conservative take heart spirit hate thing help understand dogmatic religious people live letter law uphill battle wish luck exchange idea come fairly easily contrast also parallel differently ordinary may give relevant spiritual advice even though not believer religion ,Negative
dont worry try explain meditate regularly try hard aware everything else follow come situation welcome ,Positive
 recently tell family buddhist live bible belt whole ordeal involve leave baptist church everything pretty rough really care open accept see good create life relationship others fact handful christian lovely truly respect else live buddha live christ great one read important dialogue christian also welcome message ,Positive
 unto others would unto would good start ,Positive
first understand not control react always find subject good understand first learn vocabulary explain word buddha mean people believe praise worship follow guy name buddha christian due jesus let know one could buddhist christian conflict jesus indeed buddhist philosophy jesus become enlighten buddha become christ continue practice let work advice best ,Positive
 recently hear similar question person ask introduce meditation love one cop life answer lama quite interest instead give people advice one focus practice way others see change maybe even ask personally think good keep even though must really excite also keep dharma book around house sure people pick quick browse not look learn bite people well book own ,Positive
different time different point try get across jesus say god begin end buddha say mind never bear never replace word meditation prayer breath name jesus everyone happy,Positive
evil include lady ,Negative
campaign two sun one god know find bite stifle really sun desert burn sun kill without mercy even second though drought fire generally not nice race fey call desert worship radiant fire resistance haven play nearly much part campaign ,Positive
technically could argue evil would represent power also whereas also fertile land also guy could crocodile ,Negative
 ,Neutral
blood soul lord ,Neutral
 always like one time able use story blast play fact far not powerful deity one dangerous due portfolio favorite pale night technically not deity close enough guess abyssal lord ruler nine hell fairly straightforward ample lack thereof intrigue ,Positive
though don good additional deity moment probably overlap cavern dwell might consider god evil wicked light loki sufficiently year think benefactor always lead bountiful steal peasantry fat woman give food view god death god justice give righteous end serve brutal point view change everything ,Negative
 wrong mean mortal chance respect ,Negative
sister good deity really cool story set plus topic good deity ever bard waste one night temple star stone artifact turn deity next morning hangover memory night godly power ,Positive
 set primary lawful evil deity name friend essentially three tyranny law apply without mercy vengeance community idea cruel harsh god also catch fly honey vinegar thus church often benevolent toward common people day day basis run gag sponsor inner city basketball major faith probably change name might make interest dynamic within set ,Negative
name shall lump wherever tree breast humpback ,Neutral
one campaign pretty much chaos god lord plague universe remember random always nice though campaign around cult try wake god sleep year sadly lazy back never mean directly mean never work anything basically work spread plague pretty damn evil think ,Negative
fuck shit god ,Negative
evil god real god choose list plenty evil ,Negative
burn hate best evil god ,Negative
traditional deity magic roman least goddess ,Positive
 far evil go big fan shar forget realm set god ultimate despair loss suffer know god evil follower don even bother ask small instead invoke suffer others hope event enough prevent god get involve personally bring suffer world shar one pansy goddess evil might get nod appreciation sacrifice shar good kill somebody damn near ever day get nothing like check dogma ,Negative
 like idea prometheus give magic however think prometheus like demi god reason magic prometheus could jealous fact god power grant half status upon creation thus revenge give humanity order turn tide power among deity furthermore perhaps repercussion prometheus feel action underworld cerberus make seem le deity like mortal inhuman order face judgment egyptian goddess moral virtue judge dead ,Positive
burn hate also bos god tyranny conquest always fun think one book god ,Negative
wee lawful god death magic necromancy not evil god perfect representation inevitable thing fear evil god make may wee merely wait shall come end also play cleric fabulous fun ,Positive
zen master say function analytical consciousness destroy feel purify pure land west truly know mean bear pure land must first know master bear land physical body never inception true body rather temporary formation five four element disperse remain call self self originally empty bear pure land master bear pure land land bliss extinguish ever seek mind rid think attachment form body four element individual self individual mind nature mind aspect disorder ,Positive
pure land power oppose usual self power teach buddhist though pure land not dimension afterlife ,Positive
many buddhism pure land idea not common however important thing realize doesn really matter big difference compare buddhism not dogmatic sense bunch thing must take literally else non believer sinner whatever maybe pure land idea work great maybe don great work work doesn work useless historical buddha teach dramatically different suit audience point take not literally believe literally physically true zen good example purely form not believe physically read history book entirely irrelevant story point really happen place really exist miss point also worth thing psychological phenomenon not physical phenomenon personally find make buddhist cosmology much easy understand consider competitor physical cosmology not conflict different cosmos ,Positive
 go try comment simply get metaphysical may even say supernatural hope try maintain open mind enough help understand everything physical everything universe beyond create power mind consciousness mara create samsara world dimension may experience joy sadness love etc do focus mind consciousness world dimension begin develop crave existence thus begin cycle rebirth pure land buddhism create focus mind buddha way help attain enlightenment pace buddha understand attraction sex love existence overwhelm normal overcome within one lifetime year average human be be much yet others much long create pure land west place refuge practice call upon name sincerely place not metaphorical state mind earth lack good word real though not necessarily physical way feel physical thing via electromagnetic repel force world certain law physic applicable world land plane dimension whatchamacallit certain law physic not apply yet law would also rule not law world carry land doesn mean enlightenment first still need cultivate enlightenment not give dependant every single individual consciousness effort shed fetter samsara anger ignorance jealousy embrace noble may choose rejoin world back cycle rebirth least option stay cultivate pure land west would main difference idea heaven buddha pure land west hope help ,Positive
 think pure land far reason not popular among odd abandon christianity judaism take pure land first buddhism devoid dogma seem much leap faith least pure land sect form buddhism sort supernatural element orthodox might deny like christian might attempt make scientific argument world year old least rebirth different zen seem least reverence dogma popular west western strategy assume thing meaningful figuratively not literally yeah buddhism religion end day follower ,Positive
dogmatic orthodox well esoteric philosophic side christian heaven see palace cloud state mind rebirth buddhism see fact superstition leave interpret understand see fit like think various talk thing use different word yes cherry pick believe honestly carefully think good take everything religion everything doesn say must hundred different way talk enlightenment heaven pure land alchemy rite passage education meditation tricky part easily word importantly understand different know read pure land real place state mind doubt real place sure believe buddhism dogma not nearly much eastern ,Positive
find one answer question pure land state mind perspective reality not separate place let quote human be deep desire find environment secure love understand live environment live surround feel security understand love people capacity transform suffer fear attachment live pure land find true home leap faith already pure land momentarily every time bring buddha mind fully say pure land imagine enter state degree not matter faith expand upon know joyful experience quite different concept heaven reality rather gnostic one add course believe pure land totally separate paradise however way understand state mind another rebirth seem like foreign reality may well different place entirely ,Positive
 first buddhism devoid dogma good thing buddhism least outsider much easy pick choose part not use see dogma kind environment habitat profound useful idea develop something useful buddhist not one homogeneous buddhism seem something relevant powerful context culture ,Positive
limit knowledge pure land not paradise place contemplation step point give knowledge leave cycle suffer rebirth anything akin defunct catholic idea purgatory actual heaven ,Positive
 response question create pure land quote article pure land buddhism long buddha begin attendant past life buddha state past life king kingdom become bodhisattva monk name dharma storehouse guidance buddha world sovereign king innumerable buddha land throughout ten direction reveal five bodhisattva make great series vow save sentient be great merit create realm ultimate bliss land would late come know pure land chinese translation important remember buddhism around year long time big scan brain holiness lama say science buddhism contradict science correct video one major buddha test oneself order see true rather take word faith without proof however course man see mountain remote region one not travel may believe distance region cross might sort faith buddhist since people often devote whole life buddha ,Positive
exactly song jam make ,Positive
 nam indeed ,Neutral
maybe eat know ,Neutral
accord chicago article hold week say joe unless conservative suburban white male rep joe tea party ill say something offend rhetoric caricature image republican party devote old white ,Negative
seriously sambar remark think past second think one shit tea party not even craziness much even republican ,Negative
 tea support eat sambar conservative indian american group minute ago realize hate casual racism snide remark another think fuck ,Negative
discussion rat end conclude work naturally rat death minotaur might work another race though wrath difficult survive boot levitation lot food might able hover lava deep water help summon giant size tomb card might work stash food not sure not use shield might well switch two hand experience anti magic great brand fire generally kill thing use holy versus also kill ,Positive
 could swear low wrath extremely lucky recently try make switch not difficult food ring food carve two space area near summon actually not bad part bad berserk hill giant vast majority berserk bad part actually rot since least time never catch right away rest,Negative
love god don aby wrath none blink panic work lose handful promise way ,Positive
 suppose swap branch order basically switch immediately enter crypt clear crypt max piety holy brand best weapon case post branch order like whatever there strict order like early game branch feel best prepare avoid meet terrible fate hand wrath book blink soon leave train little bite cast whenever blink middle run staircase keep blink hand purpose feel secure also spell wrath fire burn shit see trick go lair rat block still viable rat shield thing tedious unnecessary case minotaur retaliatory would kill rat not option carry around viable use since strictly one hand train use since shield reflection could use not really war good fantastic selection little damage not practical choice weapon tough monster damage output weapon use physical shield good melee always divine shield ability reflection good shield brand plus double not good worshiper reflect poison projectile something incur penance use poison ,Positive
 brother wrathful indeed destroy neither endless inevitable go take route many find easy way say get past level trivial wrath dangerous open able choose area dilute mere must grab close disintegration wand cut two wall allow view one tile time point simply need make sure good chunk pip two either drop wear conservation point spam rest tab every time tantrum minotaur power trouble kill summon long get message say free worship damn wrath level probably one least dangerous thing spend time deal will cheese ,Positive
 slime except orb chamber blade hopefully find good really good executioner convert well okay could good really need wear plate something abandon level find pretty trivial stone giant terribly difficult clear tomb hell wrath somewhat wary try low weak weapon could try wait take turn bore one hand suck use executioner ,Positive
 currently rune right abandon immediately clear crypt max piety enchant executioner caution wind clear pan hell wrath tricky make sure time strong enough take summon side problem work could bad luck ,Positive
 stage strong enough take berserk summon resource escape retreat corridor take one one quaff heal rot would also recommend get plate good damage reduction also wield big find kill thing ,Positive
 max dodge divine shield joke wipe even fully surround lose health even dodge give much trouble ,Negative
use broad get real weapon bet good something splint get plate good wrath completely destroy char poor ,Positive
mere mein loo ,Negative
kahin join ,Neutral
 main tera ,Positive
 must new avatar,Positive
allah grant sexy,Positive
don take ass fly sum day sum day ,Positive
congress eliminate blame ,Neutral
 don know surely statue every rule state half name couple guy like compare small fry ,Positive
see video seem anything possible congress party ,Neutral
 law,Neutral
congress need bogeyman without bad guy muslim voter turn good make successful coalition form government current mood suggest ,Positive
yeah suicide wish say aftermath one big communal gujarat ,Neutral
mean rule coalition government hatch scheme assassinate big political rival month next national election blame incident muslim terrorism yea also prepare witness big religious genocide history india ,Negative
question not vote ,Neutral
 know prevalent especially gujarat gujarati speak gujarati first language urdu dialect much internal migration gujarat state bihar etc percentage speak hindi english tell something try etc ,Neutral
people get gujarat drink prohibit first place word weekender drinker need scotch saturday get gujarat work gujarat even live alcohol smuggle contain gujarat easy smuggle neighbor state gujarat drive city bottle vehicle check check point ,Positive
 impress girl begin ,Neutral
please don thread don interest state leave alone politics please something constructive ask talk state people instead leave one liner ,Neutral
charismatic leader work grind level gujarat state let know people work development gujarat not quite popular national medium ,Positive
 hear direct line average true ,Positive
 dear go difficult keep discussion page many glorious happen mainstream medium status improvement gujarat true vegetarian speak guy not type gujarat mention different uncomfortable feel state gujarati ,Positive
 know big food least one non dish worth try edit go least decency tell reason ,Negative
public transportation gujarat friend experience really bad compare tamil ,Negative
 family personally always good relation muslim notice one big change last year travel others area bid know always like first place cannot change something overnight always religion base law regulate real estate see hindu dominate area something feel good see historical animosity first hand land occupy private real estate bubble early last decade build garden across city public space also open social opportunity people right carnage don understand sociology relation architecture guess open space contribute people feel comfortable however real estate price go house completely reach middle class lot open close late time mall see people chill centrally cool ambiance shop take land away people reclaim one way another youth state really bore travel visit place kick around city weekend hardly anything add prohibition take huge venue people see group people sit park lot nowhere else inclination towards public space could cloud judgment gujarat always safe could trust sister friend would come home safely late night show lately lot chain lot migration take place time don know relate check major illegal around booze real estate much low punjab high south indian state ,Positive
don discus like everyday ,Negative
every single post thread ,Negative
 let talk elephant room regardless medium want think good bad equation hindu good worsen improve since ,Positive
chance become next great metro city india join first four ,Positive
ultimate ,Neutral
not many big gujarat ,Negative
dry state ,Negative
 waterfront really good maintain properly like cram people max people inside safety ,Positive
 question ,Neutral
 always hear come gujarat politics le unknown know ,Negative
 pick one state consider close culture would raj ,Negative
 hear due booze policy feel much night gujarat true addiction fry snack must visit place ,Positive
 worry gujarat child sex ratio stand village population roughly single year old single year old marry case many continue likely give dowry gujarat ,Positive
schedule day marriage get drink dance like crazy play god know language dance crazy close foreign start around go till minute friend want stay age around midnight single leave dance hear fuck like crazy party see part record video picture fuck lose ,Negative
 move gujarat live month city recommend ,Negative
fun fact current rule city like etc not find build residential commercial tall result policy city grow horizontally vertically year ago much big footprint ,Positive
face daily life mean form system ,Negative
baby buddha nature ,Neutral
 bullshit say practically impossible move people short span time even arm force whose personnel train massive government record odd people gujarat till saturday use make state government plus railway station sunday morning make return home source ,Positive
 need ,Neutral
 pretty sure sarcasm satire news people save one source article author author exclusive profile write anti article last line article giveaway ask new model rescue relief operation help get angry congress legislator say see mean model work,Positive
saw twitter india,Neutral
 not ama rescue government sure fiery ,Positive
management world around learn rescue people place machinery human resource use nothing sort avail ,Neutral
claim rescue people far know government organize transportation gujarat plane road judge report come loot say right thing pull soon possible least suffer relief mercy state government food water ,Positive
forward caste not accept prime minister candidate collude congress malign dump eliminate appropriate time pretext till use get urban india corrupt money forward caste people group financial scandal billion airport scam billion coal mine scam billion board land scam billion land scam billion service tax central excise duty fraud billion gujarat financial billion maharashtra stamp duty scam million highway scam million ministry external affair gift scam pulse scam month fly club fraud million kashmir cricket association scam million punjab paddy scam million million seed scam million obsolete french fighter jet billion billion mine scam million corporation farm land scandal million scandal billion scam million khan billion million cash spectrum scam raja billion house society commonwealth game billion house loan scam million port billion million food grain billion billion cricket billion million billion land scam billion billion deal million oil food programme billion million corridor million million missile million calcutta stock exchange million cobbler scam million ram million million million bihar fodder million million pickle scam billion sugar import million indian bank million million million million million million oil scandal million jeep scandal ,Neutral
ama request need explanation zero loss theory theory connect string theory theory ,Positive
 much attention ,Positive
put day back ,Neutral
ask permission internet already message one ama ask social medium viral team leader permission happy initiative thing steal idea not give credit fine ,Positive
ama one day not worry ,Neutral
 think deserve mainstream medium attention number shady account fuck hate new india well think try ban etc submission test run day ,Negative
 india ama ,Neutral
don worry ama point ,Neutral
back,Neutral
 indian people need boat ,Neutral
use condom wait ,Neutral
bet open headline money attack western nation primitive ,Neutral
social medium technology west ,Positive
although don personally like admit brilliant ever see indian politics pretty much unprecedented america level campaign impressive ,Positive
 true india need top not mean foreign slavery ,Positive
every post develop india turn contest china constantly drag whilst authoritarian regime much easy huge sector don meet environmental safe work condition open many provide work hour day day week next nothing leave wing bother political oppose land farmer environmental group deforestation new nuclear ill inform occupy construction place ill advise lie people harm build ever many see people mention chinese mobile laughable chinese people choice begin twitter would use twitter isolationist distrust not spur innovation never never also people create similar quality product forget fact huge amount work product take place india india china like apple fortunately unfortunately depend view india secular democracy never million million year become like china need work value democracy option worth ,Positive
well let start religion least religion state politics true sign progress doubt man capable ,Positive
whatever hear model speech make audience feel good piece history talk current relevant solution may may not employ gujarat ,Positive
one tool use manifesto would pretty much win every vote fast cheap internet promise deliver blaze fast internet romania allow fiber vote ,Positive
probable scenario everybody become nation want know list possible way economic development country speak smile say encounter case say ,Positive
 doubt would accept ,Neutral
 would rather love like confessional zero others russian roulette style nothing debate every develop good jaw useless debate time break jaw ,Positive
go embarrass congress party clearly different level campaign rest good speech publicity etc whitewash ,Positive
would love even though like add group thing get even interest ,Positive
mean ,Negative
wont announce candidate know massive pressure know pawn announce election return heat back even find candidate simply match popularity grind effect not grind basically see congress attack leave right not disclose candidate avoid back ,Positive
india pre election orgasm moment ,Neutral
moderate debate channel show debate uncensored live ,Positive
would talk congress fail country would talk others country would wildly throw baseless would read drab script world tough place even congress attempt develop nation would read irrespective question irrespective subject mood discussion irrespective whether else speak ask question would waste everybody time give would slot would really waste everyone time ,Negative
hence prove rule ,Neutral
wow assist assist pretty good,Positive
 wait see year time look good ,Positive
great agility cut back bend ,Positive
nice ball tidy finish form ,Positive
anybody full list ,Positive
chamberlain really well ,Positive
fantastic strike ,Positive
great goal ,Positive
beautifully weight strike ,Positive
stick work watch game live ,Negative
watch match late work moment ,Neutral
replay game arsenal ,Negative
hey,Neutral
get bite silly ,Negative
go without shit ,Negative
hell slide behind often start yellow card collection,Negative
touch clumsy non existent dribble good finisher though would love see like play front also really nice see make strong case play first team ,Positive
shocker ,Neutral
indonesia performance rout vietnam feel really confident chance season look good mind don sign striker ,Positive
hat trick goal season confirm,Positive
pass make hard ,Negative
sorry call say job hang update stuff may look rusty bite ,Negative
 close another great pas tommy ,Positive
fantastic pas ,Positive
 ,Neutral
vision incredible,Positive
really look forward progress rank kid play high school ball year ago stand arsenal first team ,Positive
please one start thread ask whether not competition mean dont need striker ,Neutral
interest ,Positive
lovely ball,Positive
regardless opposition well take preseason however continue liability unless able find simple pas final third back goal ,Positive
seem finish today shoot already ,Neutral
strong tackle ,Positive
newcastle fan young play really well future look bright ,Positive
central midfield like ,Neutral
 look like visit hair stylist ,Neutral
 ,Neutral
good football back ,Positive
ball,Neutral
look even good every time see wait get hand one,Positive
believe not first goal since newcastle ,Positive
great far centre,Positive
apparently run man come team ,Positive
amaze ,Positive
 impress movement seem like intelligent addition technically gift ,Positive
fun ball mozart ,Positive
 doesn make arsenal beyond amaze composure vision ball incredible remind ,Positive
damn stadium really pack ,Positive
choice season sign fill alright think love start take spot year probably ,Positive
best vision club senior youth ,Positive
vision simple ,Neutral
brilliant ,Positive
nearly scare ,Positive
surprise,Positive
control moment yes vietnam national team ,Neutral
 sort finish prowess season force realize early day show confidence awareness display last season mother god type ,Positive
 crazy hot play july even night miss insane fun hanoi ,Negative
 need one touch,Neutral
fuck know vietnam damn ,Negative
great pas shame slow would great goal ,Positive
come take shoot ,Neutral
look like giant stand besides vietnam team,Neutral
thats peach,Neutral
edit ,Neutral
 game delay ,Negative
look bite petulant today ,Neutral
 tight shirt look bite last season ,Negative
old ,Positive
cool like ,Positive
do good great ball ,Positive
 play right ,Positive
lot site vietnam arsenal,Neutral
know ,Neutral
find live stream ,Positive
serious rain ,Negative
whoa hell wear,Neutral
finish like,Neutral
harsh send keeper friendly ,Positive
much prefer sound drum air horn ,Positive
lovely finish,Positive
 assist first minute preseason not bad start ,Positive
really find touch preseason lovely ball,Positive
vietnam goal raw,Negative
come link soccer match ,Neutral
notice run man hang ,Neutral
come early ,Positive
apparently walk injury ,Positive
vietnamese team weak cant tell improve finish ,Negative
vietnam even mean kick ball way,Positive
dat intense celebration ,Positive
 asia tour ,Neutral
good finish super ball build,Positive
best bad,Neutral
chemistry bad year know vietnam indonesia great early season,Positive
pas goal,Neutral
great composure age ,Positive
hot damn screamer ,Positive
second third deliciously finish second one particular quite juicy,Positive
great burst pace lovely chip keeper ,Positive
hat trick ,Neutral
wow strike don know don least shake hand score rather nothing look,Negative
beaut tell far striker concern,Positive
clinical ,Neutral
fantastic finish ,Positive
fuck good finish like month ,Positive
man seem really high string today pre season friendly ,Positive
name pronounce eye think ,Neutral
interest well write please keep come ,Positive
interest keep come ,Positive
hard ,Negative
god creepy ,Negative
 economic history economy doesn depend person even circumstance ,Positive
not expect leader turn india even year expect leader provide sense pride direction country lack ever since gandhi assassinate ,Neutral
true people love say let come would solve would could never congress might good congress not panacea ,Positive
morally corrupt birth caste system corrupt money forward caste people ,Negative
raja ,Neutral
cant extend say wretched country whose welfare alone ,Neutral
 course yes sir right vote current government back power clearly one man ,Positive
nonsense panacea turn india find one poster almost everyone best one best amongst current available lot provide good relative current regime ,Positive
yes solve overnight strong leader plan still good plan case study people expect economy fix thursday elect course happen still fairly shit big deal still still manage private lender student protect student million expand hate crime law include sexual orientation appoint nation first chief technology officer sign financial reform law consumer financial protection bureau sign financial reform law engage proprietary trade irrelevant pointless america sewer empower medical etc achieve potential without shit like insurance get way thus bring back point change see etc etc believe change country must come grass root easy say do not like deal lapse law corruption red tape logistics etc call think double failure gandhi congress do besides backward keep backward ,Negative
please change title wretched country news sell appease rule party wretched country terrorism maoism tolerate wretched country whose appease community name religion caste wretched country involve corruption rape money launder tax evasion etc not say solve not remain mute deaf like not even give speak good bad state not not even speak country lapdog gandhi ,Positive
even wretched country depend even one man people throughout history pivotal gandhi lincoln two example see handle charge gujarat contrast see inept corrupt lead congress sell country example pit surface pakistan attack admit pakistan inside job yes bank man hope nothing happen opinion party capable compromise india vi vi pakistan capable kill well ,Positive
gandhi hitler mao plato mohammed thatcher gandhi common one man show edit one wretched mind ,Negative
 fabulous enough india ,Positive
personally shoot like cleanse society scum ,Negative
sen indian citizen not do enough make feel safe say ask not sen say could first secular could make minority community feel secure indian not uniformly distribute muslim rest hindu country city christian majority large minority yet come across even single town integrate two live together live muslim christian majority much not well sad bewilder stature sen not see plight hindu hindu majority country word secular reduce slogan mean solicitous obscurantist element muslim leadership plight traditional sense word non secular thing do introduce hindu school make religious rule conduct force wear marker distinguish rest people go run institution sen spend time india would know answer question also secularism become hat word majority situation minority feel insecure could legitimately think violence think terrible record think indian prime minister indian citizen kind record not rao home minister delhi good example state indian history least murder mob violence delhi alone home minister rao directly responsible order delhi police delhi union territory stand aside murder rao elevate sen keep counsel not bring sikh justify point hypocrisy people use lung scream gujarat silent violence could make majority community feel not minority go long indian tradition tolerant tolerant thing far long tolerant sewage drink water poison food rape street loot war murder lose half country ethnically wherever not majority tire tolerant tire interminable well mean run affair not think please sen let ,Positive
opinion matter ,Neutral
question sen even voter card many day spend india year use government service deal haggle every day vali save people feed year congress rule may not saint thousand time good alternative ,Positive
whoa morality brigade really hiss insult mock people like etc day day even relevance actual topic something sen fire say secular knight shin arm hypocrisy civilize discussion present one first let irrespective person question ,Positive
main ,Positive
one two person disappoint see sell integrity second ,Negative
cool vote else ,Positive
 india turn section moment finger not agree sen not question credential every right personal opinion like everyone else country would great inflammatory valid point raise ,Positive
wow wonderful insightful thread wonder big ever grace ,Positive
god fuck damn one prize india may not like politics disagree respect screw ,Negative
don hate love people politics part machine call party run instead hate love article seem dubious see sen not talk shallow would need video context article many scavenger want get attention ,Negative
one link fight actually fight relevant read link get good perspective ,Positive
 get one vote rest ,Neutral
sen idiot ,Negative
old man lose mind ,Positive
sen say christian perfectly acceptable faith big mistake government want encourage british identity sen say interview daily telegraph claim faith set since government want give parity christian institution say actually absolutely sen come tour religion use pull country apart encourage inter communal violence source faith religion ,Positive
